season,opponent,result,pace,ppp,efg,to,or,ft,pmp,tmp,tmpa,fpa,fpt,tft,oppp,oefg,oto,oor,oft,opmp,otmp,otmpa,ofpa,ofpt,otft,label,type,blind
2018-19,UNC-Wilmington,W,85,1.14,53.3,17.6,42.9,37.3,60.8,25,32,17,28,60.7,0.81,41.9,29.4,27.9,33.9,40,29.6,43.5,17,21,81,Wilmington W 97-69 (2018-19),Non-Conference,lightgreen
2018-19,Michigan,L,70,0.96,44.7,14.4,30.9,19.7,42.2,33.3,31.8,8,13,61.5,1.21,67.6,10.1,6.2,42.6,62.5,50,40.7,11,23,47.8,Michigan L 67-84 (2018-19),Non-Conference,lightpink
2018-19,UCLA,W,73,1.28,57,8.2,26.5,43.8,48.8,47.8,35.9,21,28,75,1.06,52.5,17.7,30,44.1,43.2,45.5,37.3,16,26,61.5,UCLA W 94-78 (2018-19),Non-Conference,lightgreen
2018-19,Texas,L,80,1.11,52.1,21.3,39.5,30,48.8,37.9,41.4,16,21,76.2,1.15,61.9,17.5,25.7,49.1,57.1,45.8,40.7,19,29,65.5,Texas L 89-92 (2018-19),Non-Conference,lightpink
2018-19,St. Francis PA,W,84,1.2,60,21.4,31.4,41.5,60,40,38.5,23,27,85.2,0.9,41.8,20.2,27.1,40.3,34.2,34.5,43.3,20,27,74.1,St. Francis PA W 101-76 (2018-19),Non-Conference,lightgreen
2018-19,Tennessee Tech,W,82,1.31,58.8,15.8,54.5,35.1,70.6,21.7,31.1,21,26,80.8,0.71,39.1,26.7,20,20.3,48.7,16,39.1,8,13,61.5,Tennessee Tech W 108-58 (2018-19),Non-Conference,lightgreen
2018-19,Stanford,W,79,1.14,53.5,15.2,35.1,29.6,50,46.2,18.3,14,21,66.7,0.91,45.5,19,25.6,22.4,44.4,31.8,32.8,11,15,73.3,Stanford W 90-72 (2018-19),Non-Conference,lightgreen
2018-19,Elon,W,84,1.38,55.8,13.1,53.3,31,60.3,29.2,27.6,19,27,70.4,0.8,41.5,22.6,21.7,47.5,46.7,24.1,49.2,18,28,64.3,Elon W 116-67 (2018-19),Non-Conference,lightgreen
2018-19,Wofford,W,70,1.12,56.8,21.5,35.7,25.4,54.1,40.9,37.3,11,15,73.3,0.96,45.2,12.9,26.5,17.5,53.6,25.7,55.6,10,11,90.9,Wofford W 78-67 (2018-19),Non-Conference,lightgreen
2017-18,Texas A&M,L,78,0.84,37.2,7.7,17.3,9,42.6,19.4,39.7,7,7,100,1.11,60,18,20.6,35,58.3,41.7,40,13,21,61.9,Texas A&M L 65-85 (2017-18),NCAA Tournament,lightpink
2017-18,Lipscomb,W,77,1.09,59.2,23.3,30.3,30,57.9,40.9,36.7,13,18,72.2,0.85,41.4,16.8,13.9,23.4,44.4,25,43.8,13,15,86.7,Lipscomb W 84-66 (2017-18),NCAA Tournament,lightgreen
2017-18,UVA,L,58,1.08,51,15.4,25.8,34.7,41.7,40,51,13,17,76.5,1.22,51,6.9,20.7,44,36.4,52.9,34,20,22,90.9,UVA L 63-71 (2017-18),ACC Tournament,lightpink
2017-18,Duke,W,72,1.03,44.4,18.1,39.1,21.1,44.7,29.2,33.8,11,15,73.3,0.96,46.3,25,36.4,42.6,51.6,26.1,42.6,19,23,82.6,Duke W 74-69 (2017-18),ACC Tournament,lightgreen
2017-18,Miami,W,73,1.13,45.1,11,37,32.4,50,24,35.2,18,23,78.3,0.9,41.4,11,25.5,18.6,39.2,31.6,27.1,7,13,53.8,Miami W 82-65 (2017-18),ACC Tournament,lightgreen
2017-18,Syracuse,W,66,1.18,49.1,16.7,41.7,49.1,50,31.6,33.3,22,28,78.6,0.89,38.1,18.2,37.2,22.2,30,34.8,36.5,11,14,78.6,Syracuse W 78-59 (2017-18),ACC Tournament,lightgreen
2017-18,Duke,L,70,0.91,42.9,19.9,33.3,7.1,46.2,25.8,44.3,4,5,80,1.05,52.4,19.9,37.2,32.3,51.4,36,40.3,9,20,45,Duke L 64-74 (2017-18),League,lightpink
2017-18,Miami,L,69,1.28,65.8,18.9,39.3,35.1,60,48.1,47.4,13,20,65,1.32,63.7,14.5,31,21,57.5,50,35.5,12,13,92.3,Miami L 88-91 (2017-18),League,lightpink
2017-18,Syracuse,W,65,1.2,50.8,12.3,39.5,23.1,48.8,36.4,33.8,12,15,80,1.14,50,15.4,32.4,29.3,48.6,34.8,39.7,16,17,94.1,Syracuse W 78-74 (2017-18),League,lightgreen
2017-18,Louisville,W,73,1.27,56.8,15.1,44.7,13.5,51.1,44.4,36.5,9,10,90,1.04,50.8,16.4,28.9,35.5,46.7,41.2,27.4,13,22,59.1,Louisville W 93-76 (2017-18),League,lightgreen
2017-18,Notre Dame,W,64,1.29,58.3,9.3,38.7,33.3,59.1,37.5,26.7,13,20,65,1.03,46.5,9.3,25,39.7,38.7,37,46.6,12,23,52.2,Notre Dame W 83-66 (2017-18),League,lightgreen
2017-18,NC State,W,79,1.21,60.6,24,46.9,18.3,63,35.3,23.9,10,13,76.9,1.13,60.2,13.9,21.2,29.7,54.9,53.8,20.3,12,19,63.2,NC State W 96-89 (2017-18),League,lightgreen
2017-18,Duke,W,65,1.26,46.1,3.1,42.5,16.9,43.2,33.3,42.9,11,13,84.6,1.2,55.6,12.3,31.4,19.4,56.8,36,40.3,9,12,75,Duke W 82-78 (2017-18),League,lightgreen
2017-18,Pittsburgh,W,73,1.32,59.3,15.2,48.5,24.3,58.1,40.7,38.6,13,17,76.5,0.9,46.7,22,26.2,25,43.3,33.3,50,9,15,60,Pittsburgh W 96-65 (2017-18),League,lightgreen
2017-18,Clemson,L,68,1.15,53.2,16.2,38.2,22.6,47.4,41.7,38.7,12,14,85.7,1.21,51.6,14.8,35.7,44.3,29,50,49.2,19,27,70.4,Clemson L 78-82 (2017-18),League,lightpink
2017-18,NC State,L,72,1.13,55.6,17.4,41.7,27.8,64.2,21.1,26.4,11,20,55,1.18,54.6,11.2,28.3,23.7,41.3,50,39.5,12,18,66.7,NC State L 91-95 (2017-18),League,lightpink
2017-18,Virginia Tech,L,68,1.01,50.8,19.1,27.8,7.9,53.1,32.3,49.2,5,5,100,1.18,57.1,13.2,28.6,19.1,54.5,40,47.6,8,12,66.7,Virginia Tech L 69-80 (2017-18),League,lightpink
2017-18,Georgia Tech,W,72,1.11,46.2,19.4,50,36.4,51.1,23.8,31.8,19,24,79.2,0.92,52.5,20.8,18.2,10,57.1,27.8,30,3,6,50,Georgia Tech W 80-66 (2017-18),League,lightgreen
2017-18,Clemson,W,72,1.21,65.7,19.4,21.7,47.1,55,48.4,60.8,20,24,83.3,1.09,58,20.8,25,37.5,64,35.5,55.4,14,21,66.7,Clemson W 87-79 (2017-18),League,lightgreen
2017-18,Notre Dame,W,64,1.09,47.5,11,34.2,27.9,50,28.6,34.4,11,17,64.7,1.07,42.4,17.3,45.5,22.7,31,41.7,36.4,12,15,80,Notre Dame W 69-68 (2017-18),League,lightgreen
2017-18,Boston College,W,66,1.45,55.8,12.1,60.5,11.5,58.8,33.3,34.6,9,9,100,1,48.4,7.5,18.6,21,41.4,36.4,53.2,6,13,46.2,Boston College W 96-66 (2017-18),League,lightgreen
2017-18,UVA,L,59,0.83,37,32.3,48.7,20.4,25.8,34.8,42.6,9,11,81.8,1.04,52.8,18.7,30.3,17,51.6,36.4,41.5,5,9,55.6,UVA L 49-61 (2017-18),League,lightpink
2017-18,Florida State,L,73,1.1,47.4,9.6,37,11.7,41.7,37.9,37.7,7,9,77.8,1.11,58.8,20.6,25,38.6,60.7,37.9,50.9,14,22,63.6,Florida State L 80-81 (2017-18),League,lightpink
2017-18,Wake Forest,W,74,0.99,44.9,16.2,31.8,26.5,43.5,31.8,32.4,12,18,66.7,0.93,48.4,9.4,10.3,25.4,41.2,37.9,46,8,16,50,Wake Forest W 73-69 (2017-18),League,lightgreen
2017-18,Ohio State,W,78,1.1,57,21.8,29,43.9,40.6,52,43.9,21,25,84,0.92,48.3,18,9.1,32.2,48.8,31.2,27.1,15,19,78.9,Ohio State W 86-72 (2017-18),Non-Conference,lightgreen
2017-18,Wofford,L,77,0.98,42.7,18.2,25,69.1,43.3,28,45.5,28,38,73.7,1.03,49.2,13,19.4,28.1,50,31.8,34.4,16,18,88.9,Wofford L 75-79 (2017-18),Non-Conference,lightpink
2017-18,Tennessee,W,72,1.09,47.8,22.4,47.5,28.4,46,35.3,25.4,14,19,73.7,1.02,44,18.2,41.9,25.4,38.1,36,37.3,14,17,82.4,Tennessee W 78-73 (2017-18),Non-Conference,lightgreen
