season,opponent,result,unc,opp,off1,off2,off3,uncfouls,oppfouls,sumfouls
2004-05,Maryland,W,109,75,Larry Rose,Reggie Cofer,Ted Valentine,17,20,37
2004-05,William & Mary,W,105,66,Duke Edsall,Emanuel Upton,Frank Raposo,12,24,36
2004-05,Cleveland State,W,107,64,Ray Natili,Sean Hull,Raymond Styons,14,22,36
2004-05,UNC-Wilmington,W,96,75,Duke Edsall,Mike Eades,Alan Spainhour,20,31,51
2004-05,Vermont,W,93,65,Robert Donato,Roger Ayers,Dwayne Gladden,16,22,38
2004-05,Virginia Tech,W,85,51,Karl Hess,Edwin Edsall,Bryan Kersey,15,17,32
2004-05,Loyola Chicago,W,109,60,Reggie Cofer,Tony Greene,David Guthrie,14,26,40
2004-05,Kentucky,W,91,78,Karl Hess,Les Jones,Tony Greene,16,31,47
2004-05,Indiana,W,70,63,Jim Burr,Donnee Gray,Tim Higgins,19,21,40
2004-05,USC,W,97,65,Mike Wood,Gary Maxwell,Reggie Cofer,15,28,43
2004-05,Iowa,W,106,92,Robert Donato,Tony Greene,Verne Harris,23,23,46
2004-05,Tennessee,W,94,81,Verne Harris,Mike Eades,Pat Evans,19,27,46
2004-05,BYU,W,86,50,Robert Donato,Craig Peterson,J.D. Collins,17,21,38
2004-05,Santa Clara,L,66,77,David Libbey,Mike Irving,Verne Harris,23,24,47
2003-04,Texas,L,75,78,John Cahill,Donnee Gray,Rob Staffen,21,19,40
2003-04,Air Force,W,63,52,John Cahill,Robert Adams,John Caldwell,15,15,30
2003-04,Georgia Tech,L,82,83,Duke Edsall,Les Jones,Jamie Luckie,22,25,47
2003-04,Duke,L,65,70,Mike Wood,Gary Maxwell,Reggie Cofer,17,18,35
2003-04,Clemson,W,69,53,Mike Kitts,Duke Edsall,Larry Rose,11,12,23
2003-04,NC State,W,71,64,Mike Stuart,Bryan Kersey,Robert Donato,12,16,28
2003-04,UVA,L,72,74,Karl Hess,Ted Valentine,Bernard Clinton,19,13,32
2003-04,Florida State,W,78,71,Mike Wood,Gary Maxwell,Steve Gordon,18,27,45
2003-04,Maryland,W,97,86,Mike Stuart,Jamie Luckie,Reggie Cofer,24,31,55
2003-04,Georgia Tech,L,77,88,Karl Hess,Ray Natili,Mike Eades,20,19,39
2003-04,Wake Forest,W,79,73,Reggie Cofer,Jamie Luckie,Mike Wood,21,17,38
2003-04,Duke,L,81,83,Karl Hess,Bryan Kersey,Duke Edsall,19,17,36
2003-04,Clemson,L,72,81,Ted Valentine,Ray Natili,Les Jones,25,17,42
2003-04,NC State,W,68,66,Mike Wood,Robert Donato,William Bush,17,18,35
2003-04,UVA,W,96,77,Jamie Luckie,Les Jones,Larry Rose,19,24,43
2003-04,Florida State,L,81,90,Ted Valentine,John Cahill,Roger Ayers,16,17,33
2003-04,Connecticut,W,86,83,Karl Hess,Robert Donato,Les Jones,17,20,37
2003-04,Maryland,L,84,90,Duke Edsall,Mike Wood,Bryan Kersey,24,18,42
2003-04,Georgia Tech,W,103,88,Ed Corbett,Mike Kitts,Steve Gordon,24,28,52
2003-04,Miami,W,89,64,Bryan Kersey,Lee Jones,Tom Lopes,21,21,42
2003-04,Kentucky,L,56,61,John Clougherty,Tom Lopes,Tom Eades,14,13,27
2003-04,Coastal Carolina,W,105,72,Jamie Luckie,Alan Spainhour,Sean Hull,14,24,38
2003-04,UNC-Wilmington,W,71,54,Mike Wood,Duke Edsall,Reggie Cofer,19,23,42
2003-04,Wake Forest,L,114,119,Jamie Luckie,Duke Edsall,Reggie Cofer,26,26,52
2003-04,Akron,W,64,53,Ted Valentine,Ray Natili,Robert Donato,10,21,31
2003-04,George Mason,W,115,81,Les Jones,Larry Rose,Steve Gordon,21,27,48
2003-04,Illinois,W,88,81,Reggie Cofer,Jamie Luckie,Bryan Kersey,15,21,36
2003-04,Cleveland State,W,82,76,Gary Maxwell,Everett Summers,Sean Carpenter,21,26,47
2003-04,Davidson,W,91,68,Mike Wood,Tim Nestor,Mike Eades,21,32,53
2003-04,Old Dominion,W,90,64,Karl Hess,Mike Eades,Jerry Heater,12,20,32
