season,opponent,result,unc,opp,off1,off2,off3,uncfouls,oppfouls,sumfouls
2016-17,Georgia Tech,L,63,75,Brian Dorsey,Bill Covington Jr.,Tim Clougherty,22,18,40
2016-17,Monmouth,W,102,74,Les Jones,Doug Sirmons,Jeb Hartness,25,30,55
2016-17,Northern Iowa,W,85,42,Bert Smith,Lee Cassell,Brent Hampton,14,15,29
2016-17,Kentucky,L,100,103,Roger Ayers,David Hall,Verne Harris,21,20,41
2016-17,Tennessee,W,73,71,Mike Eades,Jeff Clark,Doug Shows,16,22,38
2016-17,Davidson,W,83,74,Ted Valentine,Ron Groover,Keith Kimble,19,25,44
2016-17,Radford,W,95,50,Michael Stephens,Tim Nestor,Tim Clougherty,11,23,34
2016-17,Indiana,L,67,76,Terry Wymer,Bo Boroski,Gene Steratore,21,22,43
2016-17,Wisconsin,W,71,56,Ted Valentine,Chris Rastatter,Earl Walton,13,12,25
2016-17,Oklahoma State,W,107,75,Ted Valentine,Tom Eades,Donnie Eppley,22,26,48
2016-17,Chaminade,W,104,61,Chris Rastatter,Bob Staffen,Donnie Eppley,15,22,37
2016-17,Hawai'i,W,83,68,Gregory Nixon,Tommy Nunez,Daryl Gelinas,20,15,35
2016-17,Long Beach State,W,93,67,Roger Ayers,John Higgins,Les Jones,18,28,46
2016-17,Chattanooga,W,97,57,Ted Valentine,Raymond Styons,Tim Comer,13,25,38
2016-17,Tulane,W,95,75,John Hampton,Doug Sirmons,Jeb Hartness,20,21,41
2015-16,Villanova,L,74,77,Michael Stephens,John Higgins,Terry Wymer,20,16,36
2015-16,Syracuse,W,83,66,Mike Eades,Roger Ayers,Jeff Clark,12,15,27
2015-16,Notre Dame,W,88,74,Michael Stephens,Ed Corbett,Tom Eades,17,18,35
2015-16,Indiana,W,101,86,Pat Adams,Joe DeRosa,Lee Cassell,22,27,49
2015-16,Providence,W,85,66,Doug Sirmons,John Gaffney,Eric Curry,19,20,39
2015-16,Florida Gulf-Coast,W,83,67,Jeff Clark,Mike Greenstein,Donnie Eppley,19,19,38
2015-16,UVA,W,61,57,Bryan Kersey,Mike Eades,Roger Ayers,10,10,20
2015-16,Notre Dame,W,78,47,Les Jones,Brian Dorsey,Jerry Heater,17,18,35
2015-16,Pittsburgh,W,88,71,Mike Eades,Sean Hull,Tim Comer,16,17,33
2015-16,Duke,W,76,72,Roger Ayers,Tim Nestor,John Gaffney,14,17,31
2015-16,Syracuse,W,75,70,Mike Eades,Jeffrey Anderson,Michael Stephens,18,19,37
2015-16,UVA,L,74,79,Bryan Kersey,Joe Lindsay,Tim Clougherty,21,14,35
2015-16,NC State,W,80,68,Bryan Kersey,Jerry Heater,Pat Driscoll,18,16,34
2015-16,Miami,W,96,71,John Gaffney,Sean Hull,Bill Covington Jr.,20,18,38
2015-16,Duke,L,73,74,Mike Eades,Les Jones,Michael Stephens,14,15,29
2015-16,Pittsburgh,W,85,64,Brian Dorsey,Bryan Kersey,Pat Driscoll,17,14,31
2015-16,Boston College,W,68,65,Tim Comer,Jamie Luckie,Michael Stephens,19,16,35
2015-16,Notre Dame,L,76,80,Roger Ayers,Jerry Heater,Tim Nestor,27,16,43
2015-16,Louisville,L,65,71,Bryan Kersey,Mike Eades,Bill Covington Jr.,21,20,41
2015-16,Boston College,W,89,62,Brian Dorsey,Raymond Styons,Louie Andrakakos,14,17,31
2015-16,Virginia Tech,W,75,70,Tim Nestor,Sean Hull,Brian O'Connell,24,20,44
2015-16,Wake Forest,W,83,68,Jamie Luckie,Tim Comer,Tim Kelly,17,24,41
2015-16,NC State,W,67,55,Mike Eades,Sean Hull,Terry Wymer,15,16,31
2015-16,Syracuse,W,84,73,Earl Walton,Bryan Kersey,Roger Ayers,16,19,35
2015-16,Florida State,W,106,90,Mike Eades,Terry Wymer,Mike Roberts,28,22,50
2015-16,Georgia Tech,W,86,68,Brian Dorsey,Wally Rutecki,Clarence Armstrong,18,25,43
2015-16,Clemson,W,80,69,Tim Nestor,Bill Covington Jr.,Tim Kelly,19,18,37
2015-16,UNC-G,W,96,63,Les Jones,Jerry Heater,Roger Ayers,14,20,34
2015-16,Appalachian State,W,94,70,Brian Dorsey,Bill McCarthy,Tony Greene,18,22,40
2015-16,UCLA,W,89,76,Ed Corbett,Pat Driscoll,Lamar Simpson,19,16,35
2015-16,Tulane,W,96,72,Louie Andrakakos,Doug Shows,Clarence Armstrong,15,17,32
2015-16,Texas,L,82,84,Kelly Self,Michael Stephens,Pat Adams,22,23,45
2015-16,Davidson,W,98,65,Bryan Kersey,Jerry Heater,Tim Clougherty,18,16,34
2015-16,Maryland,W,89,81,Michael Stephens,Pat Driscoll,Mike Roberts,12,21,33
2015-16,Kansas State,W,80,70,Pat Adams,Mark Whitehead,Ray Natili,20,22,42
2015-16,Northwestern,W,80,69,Mike Stuart,Gerry Pollard,Don Daily,18,13,31
2015-16,Northern Iowa,L,67,71,Mike Stuart,Gerry Pollard,Don Daily,21,16,37
2015-16,Wofford,W,78,58,Tim Nestor,Louie Andrakakos,Andrew Marotta,13,17,30
2015-16,Fairfield,W,92,65,Raymond Styons,Dwayne Gladden,Matt Potter,20,24,44
2015-16,Temple,W,91,67,Michael Stephens,Lamar Simpson,Mike Roberts,16,19,35
2014-15,Wisconsin,L,72,79,Randall McCall,Lamar Simpson,Brian O'Connell,20,18,38
2014-15,Arkansas,W,87,78,David Hall,Mike Roberts,Bert Smith,25,23,48
2014-15,Harvard,W,67,65,Lee Cassell,Mike Sanzere,Jamie Luckie,18,16,34
2014-15,Notre Dame,L,82,90,Bryan Kersey,Mike Eades,Brian Dorsey,23,13,36
