season,date,opponent,location,type,longtype,result,unc,opp,OT,box
2017-18,23-Dec-17,Ohio State,neutral,Non-Conference,Non-Conference,W,86,72,,https:///dadgumboxscores.com/boxes/2018/unc-86-osu-72.pdf
2017-18,20-Dec-17,Wofford,home,Non-Conference,Non-Conference,L,75,79,,https:///dadgumboxscores.com/boxes/2018/woff-79-unc-75.pdf
2017-18,17-Dec-17,Tennessee,away,Non-Conference,Non-Conference,W,78,73,,https:///dadgumboxscores.com/boxes/2018/unc-78-tenn-73.pdf
2017-18,6-Dec-17,Western Carolina,home,Non-Conference,Non-Conference,W,104,61,,https:///dadgumboxscores.com/boxes/2018/unc-104-wcu-61.pdf
2017-18,3-Dec-17,Tulane,home,Non-Conference,Non-Conference,W,97,73,,https:///dadgumboxscores.com/boxes/2018/unc-97-tulane-73.pdf
2017-18,1-Dec-17,Davidson,neutral,Non-Conference,Non-Conference,W,85,75,,https:///dadgumboxscores.com/boxes/2018/unc-85-dav-75.pdf
2017-18,29-Nov-17,Michigan,home,Non-Conference,Non-Conference (Big 10 Challenge),W,86,71,,https:///dadgumboxscores.com/boxes/2018/unc-86-mich-71.pdf
2017-18,26-Nov-17,Michigan State,neutral,Non-Conference,Non-Conference (PK 80),L,45,63,,https:///dadgumboxscores.com/boxes/2018/msu-63-unc-45.pdf
2017-18,24-Nov-17,Arkansas,neutral,Non-Conference,Non-Conference (PK 80),W,87,68,,https:///dadgumboxscores.com/boxes/2018/unc-87-ark-68.pdf
2017-18,23-Nov-17,Portland,neutral,Non-Conference,Non-Conference (PK 80),W,102,78,,https:///dadgumboxscores.com/boxes/2018/unc-102-port-78.pdf
2017-18,20-Nov-17,Stanford,away,Non-Conference,Non-Conference,W,96,72,,https:///dadgumboxscores.com/boxes/2018/unc-96-stanford-72.pdf
2017-18,15-Nov-17,Bucknell,home,Non-Conference,Non-Conference,W,93,81,,https:///dadgumboxscores.com/boxes/2018/unc-93-buck-81
2017-18,10-Nov-17,Northern Iowa,home,Non-Conference,Non-Conference,W,86,69,,https:///dadgumboxscores.com/boxes/2018/unc-86-uni-69.pdf
2016-17,3-Apr-17,Gonzaga,neutral,NCAA Tournament,NCAA Tournament Championship,W,71,65,,https:///dadgumboxscores.com/boxes/2017/unc-71-zags-65
2016-17,1-Apr-17,Oregon,neutral,NCAA Tournament,NCAA Tournament Final 4,W,77,76,,https:///dadgumboxscores.com/boxes/2017/unc-77-oregon-76
2016-17,26-Mar-17,Kentucky,neutral,NCAA Tournament,NCAA Tournament Elite 8,W,75,73,,https:///dadgumboxscores.com/boxes/2017/unc-75-kentucky-73
2016-17,24-Mar-17,Butler,neutral,NCAA Tournament,NCAA Tournament Sweet 16,W,92,80,,https:///dadgumboxscores.com/boxes/2017/unc-92-butler-80
2016-17,19-Mar-17,Arkansas,neutral,NCAA Tournament,NCAA Tournament 2nd Round,W,72,65,,https:///dadgumboxscores.com/boxes/2017/unc-72-ark-65
2016-17,17-Mar-17,Texas Southern,neutral,NCAA Tournament,NCAA Tournament 1st Round,W,103,64,,https:///dadgumboxscores.com/boxes/2017/unc-103-ts-64
2016-17,10-Mar-17,Duke,neutral,ACC Tournament,ACC Tournament Semifinal,L,83,93,,https:///dadgumboxscores.com/boxes/2017/duke-93-unc-83/
2016-17,9-Mar-17,Miami,neutral,ACC Tournament,ACC Tournament Quarterfinal,W,78,53,,https:///dadgumboxscores.com/boxes/2017/unc-78-um-53.pdf
2016-17,4-Mar-17,Duke,home,League,League,W,90,83,,https:///dadgumboxscores.com/boxes/2017/unc-90-duke-83/
2016-17,27-Feb-17,UVA,away,League,League,L,43,53,,https:///dadgumboxscores.com/boxes/2017/uva-53-unc-43
2016-17,25-Feb-17,Pittsburgh,away,League,League,W,85,67,,https:///dadgumboxscores.com/boxes/2017/unc-85-pitt-67
2016-17,22-Feb-17,Louisville,home,League,League,W,74,63,,https:///dadgumboxscores.com/boxes/2017/unc-74-ville-63
2016-17,18-Feb-17,UVA,home,League,League,W,65,41,,https:///dadgumboxscores.com/boxes/2017/unc-65-uva-41
2016-17,15-Feb-17,NC State,away,League,League,W,97,73,,https:///dadgumboxscores.com/boxes/2017/unc-97-ncsu-73
2016-17,9-Feb-17,Duke,away,League,League,L,78,86,,https:///dadgumboxscores.com/boxes/2017/duke-86-unc-78
2016-17,6-Feb-17,Notre Dame,neutral,League,League,W,83,76,,https:///dadgumboxscores.com/boxes/2017/unc-83-nd-76
2016-17,31-Jan-17,Pittsburgh,home,League,League,W,80,78,,https:///dadgumboxscores.com/boxes/2017/unc-80-pitt-78
2016-17,28-Jan-17,Miami,away,League,League,L,62,77,,https:///dadgumboxscores.com/boxes/2017/unc-62-um-77
2016-17,26-Jan-17,Virginia Tech,home,League,League,W,91,72,,https:///dadgumboxscores.com/boxes/2017/unc-91-vt-72
2016-17,21-Jan-17,Boston College,away,League,League,W,90,82,,https:///dadgumboxscores.com/boxes/2017/unc-90-bc-82
2016-17,16-Jan-17,Syracuse,home,League,League,W,85,68,,https:///dadgumboxscores.com/boxes/2017/unc-85-cuse-68
2016-17,14-Jan-17,Florida State,home,League,League,W,96,83,,https:///dadgumboxscores.com/boxes/2017/unc-96-fsu-83
2016-17,11-Jan-17,Wake Forest,away,League,League,W,93,87,,https:///dadgumboxscores.com/boxes/2017/unc-93-wfu-87
2016-17,8-Jan-17,NC State,home,League,League,W,107,56,,https:///dadgumboxscores.com/boxes/2017/unc-107-ncsu-56
2016-17,3-Jan-17,Clemson,away,League,League,W,89,86,OT,https:///dadgumboxscores.com/boxes/2017/unc-89-clem-86
